Date of Final Decision,Submission Number,Device,Company,Panel (lead),Primary Product Code,city,state,date_received,decision_date,decision_code,expedited_review_flag,device_class
3/31/2023,DEN200011,Masimo SafetyNet,Masimo Corporation,Anesthesiology,QVT,Irvine,CA,2020-02-19,2023-03-31,DENG,,2
3/29/2023,K222312,RayStation 12A,RaySearch Laboratories AB (publ),Radiology,MUJ,Stockholm,,2022-08-01,2023-03-29,SESE,,2
3/28/2023,K221921,DTX Studio Clinic 3.0,Nobel Biocare AB,Radiology,MYN,411 17 Goteborg,,2022-07-01,2023-03-28,SESE,,2
3/28/2023,K222268,Annalise Enterprise CXR Triage Trauma,Annalise-AI Pty Ltd,Radiology,QFM,Sydney,,2022-07-28,2023-03-28,SESE,,2
3/28/2023,K222174,RadioLens v1.0,Synapsica,Radiology,QIH,Frisco,TX,2022-07-21,2023-03-28,SESE,,2
3/28/2023,K222179,Annalise Enterprise CXR Triage Trauma,Annalise-AI Pty Ltd,Radiology,QFM,Sydney,,2022-07-22,2023-03-28,SESE,,2
3/28/2023,K223343,MAGNETOM Amira; MAGNETOM Sempra,Siemens Medical Solutions USA Inc.,Radiology,LNH,Malvern,PA,2022-11-01,2023-03-28,SESE,,2
3/27/2023,K222746,Overjet Caries Assist,"Overjet, Inc.",Radiology,MYN,Boston,MA,2022-09-12,2023-03-27,SESE,,2
3/22/2023,K222036,MPXA-2000,"Medipixel, Inc.",Radiology,QIH,Seoul,,2022-07-11,2023-03-22,SESE,,2
3/21/2023,K223490,FlightPlan for Embolization,GE Medical Systems SCS,Radiology,LLZ,Buc,,2022-11-21,2023-03-21,SESE,,2
3/17/2023,K221772,NeuroRPM,New Touch Digital Inc.,Neurology,GYD,Washington,DC,2022-06-21,2023-03-17,SESE,,2
3/17/2023,K223073,Alio,"Alio, Inc.",Cardiovascular,DRG,Broomfield,CO,2022-09-30,2023-03-17,SESE,,2
3/17/2023,K223443,Viz AAA,"Viz. ai, Inc.",Radiology,QFM,San Francisco,CA,2022-11-14,2023-03-17,SESE,,2
3/10/2023,K223325,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,Shanghai,,2022-10-31,2023-03-10,SESE,,2
3/9/2023,K223514,Spectral Bone Marrow,"GE Medical Systems, LLC",Radiology,JAK,Waukesha,WI,2022-11-22,2023-03-09,SESE,,2
3/9/2023,K221706,AccuContour,"Manteia Technologies Co., Ltd.",Radiology,QKB,Xiamen,,2022-06-13,2023-03-09,SESE,,2
3/7/2023,K223726,Aquilion Precision (TSX-304A/4) V10.14 with AiCE,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2022-12-13,2023-03-07,SESE,,2
3/3/2023,K222819,Aquilion Serve (TSX-307A/1) V1.2 with AiCE-i,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2022-09-19,2023-03-03,SESE,,2
3/2/2023,K222176,BoneView,Gleamer,Radiology,QBS,Saint Mandé,,2022-07-22,2023-03-02,SESE,,2
3/2/2023,K222884,Rapid NCCT Stroke,"iSchemaView, Inc.",Radiology,QAS,Golden,CO,2022-09-22,2023-03-02,SESE,,2
3/1/2023,K221680,Xeleris V Processing and Review System,GE Healthcare,Radiology,LLZ,Tirat Hacarmel,,2022-06-09,2023-03-01,SESE,,2
2/24/2023,DEN220063,Caption Interpretation Automated Ejection Fraction Software,"Caption Health, Inc",Radiology,QVD,Brisbane,CA,2022-09-28,2023-02-24,DENG,,2
2/24/2023,K221592,AVIEW Lung Nodule CAD,"Coreline Soft Co.,Ltd.",Radiology,OEB,Seoul,,2022-06-02,2023-02-24,SESE,,2
2/23/2023,K222579,Belun Sleep System BLS-100,Belun Technology Company Limited,Anesthesiology,MNR,Sha Tin,,2022-08-25,2023-02-23,SESE,,2
2/23/2023,K221564,Brainomix 360 e-ASPECTS,Brainomix Limited,Radiology,POK,Oxford,,2022-05-31,2023-02-23,SESE,,2
2/22/2023,K230197,BoneMRI v1.6,MRIguidance B.V.,Radiology,QIH,Utrecht,,2023-01-25,2023-02-22,SESE,,2
2/22/2023,K230208,Swoop® Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2023-01-25,2023-02-22,SESE,,2
2/17/2023,DEN210022,PMD-200,Medasense Biometrics Ltd.,Anesthesiology,QVE,Ramat Gan,,2021-06-04,2023-02-17,DENG,,2
2/16/2023,K223028,uCT ATLAS Astound with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK,Shanghai,,2022-09-29,2023-02-16,SESE,,2
2/16/2023,K222755,uMR 680,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,LNH,Shanghai,,2022-09-12,2023-02-16,SESE,,2
2/15/2023,K222389,ZEUS System,"iRhythm Technologies, Inc.",Cardiovascular,DQK,San Francisco,CA,2022-08-08,2023-02-15,SESE,,2
2/13/2023,K223387,"V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2022-11-07,2023-02-13,SESE,,2
2/13/2023,K223439,SIGNA Victor,GE Healthcare (Tianjin) Company Limited,Radiology,LNH,Tianjin,,2022-11-14,2023-02-13,SESE,,2
2/6/2023,K223296,Videa Perio Assist,"VideaHealth, Inc.",Radiology,QIH,Boston,MA,2022-10-26,2023-02-06,SESE,,2
2/2/2023,K222803,Oncospace,"Oncospace, Inc.",Radiology,MUJ,Baltimore,MD,2022-09-16,2023-02-02,SESE,,2
2/1/2023,K230020,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM,Tel-Aviv,,2023-01-03,2023-02-01,SESE,,2
2/1/2023,K223396,Rapid RV/LV,iSchema View Inc.,Radiology,QIH,Golden,CO,2022-11-08,2023-02-01,SESE,,2
2/1/2023,K222970,LVivo IQS,DiA Imaging Analysis Ltd,Radiology,QIH,Beer-Sheva,,2022-09-27,2023-02-01,SESE,,2
1/27/2023,K221868,QOCA image Smart CXR Image Processing System,Quanta Computer Inc.,Radiology,QFM,Taoyuan City,,2022-06-27,2023-01-27,SESE,,2
1/23/2023,K222406,Clarius AI,Clarius Mobile Health Corp.,Radiology,QIH,Vancouver,,2022-08-09,2023-01-23,SESE,,2
1/21/2023,K223516,VX1+,Volta Medical,Cardiovascular,DQK,Marseille,,2022-11-22,2023-01-21,SESE,,2
1/18/2023,K222593,TruPlan Computed Tomography (CT) Imaging Software,"Circle Cardiovascular Imaging, Inc.",Radiology,LLZ,Calgary,,2022-08-26,2023-01-18,SESE,,2
1/13/2023,K223502,MR Diffusion Perfusion Mismatch V1.0,Olea Medical,Radiology,LLZ,La Ciotat,,2022-11-21,2023-01-13,SESE,,2
1/12/2023,K222458,AIBOLIT 3D+,"Aibolit Technologies, LLC",Radiology,LLZ,Delray Beach,FL,2022-08-15,2023-01-12,SESE,,2
1/11/2023,K223738,Alpha Control Liner System (ACLS),Coapt,Neurology,GXY,Chicago,IL,2022-12-14,2023-01-11,SESE,,2
12/23/2022,K223442,MR 5300 and MR 7700 R11 MR Systems,Philips Medical Systems Nederlands B.V.,Radiology,LNH,Best,,2022-11-14,2022-12-23,SESE,,2
12/23/2022,K214036,AVIEW,"Coreline Soft Co.,Ltd.",Radiology,QIH,Seoul,,2021-12-23,2022-12-23,SESE,,2
12/22/2022,K223311,Philips CT 3500,"Philips Healthcare (Suzhou) Co., Ltd",Radiology,JAK,Suzhou,,2022-10-28,2022-12-22,SESE,,2
12/16/2022,K222275,Saige-Density,"DeepHealth, Inc.",Radiology,QIH,Cambridge,MA,2022-07-29,2022-12-16,SESE,,2
12/16/2022,K223268,BrainInsight,"Hyperfine, Inc.",Radiology,QIH,Guilford,CT,2022-10-24,2022-12-16,SESE,,2
12/16/2022,K220928,Overjet Calculus Assist,Overjet Inc.,Radiology,MYN,Boston,MA,2022-03-31,2022-12-16,SESE,,2
12/6/2022,K223247,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2022-10-21,2022-12-06,SESE,,2
12/5/2022,K222692,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM,Tel Aviv,,2022-09-06,2022-12-05,SESE,,2
12/1/2022,K220786,STAR Apollo Mapping System,"Rhythm Al, Ltd",Cardiovascular,DQK,Witney,,2022-03-17,2022-12-01,SESE,,2
11/22/2022,K221716,CINA,AVICENNA.AI,Radiology,QAS,La Ciotat,,2022-06-13,2022-11-22,SESE,,2
11/22/2022,K221624,Avenda Health AI Prostate Cancer Planning Software,"Avenda Health, Inc.",Radiology,POK,Culver City,CA,2022-06-06,2022-11-22,SESE,,2
11/21/2022,K223032,SIS System (Version 5.6.0),"Surgical Information Sciences, Inc.",Radiology,QIH,Ham Lake,MN,2022-09-29,2022-11-21,SESE,,2
11/18/2022,K221330,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel-Aviv,,2022-05-06,2022-11-18,SESE,,2
11/16/2022,K221762,BoneMRI v1.4,MRlguidance B.V.,Radiology,QIH,Utrecht,,2022-06-17,2022-11-16,SESE,,2
11/14/2022,K222428,Syngo Dynamics (Version VA40F),"Siemens Medical Solutions USA, Inc.",Radiology,QIH,Ann Arbor,MI,2022-08-11,2022-11-14,SESE,,2
11/10/2022,K221183,AEYE-DS,"AEYE Health, Inc.",Ophthalmic,PIB,New York,NY,2022-04-25,2022-11-10,SESE,,2
11/10/2022,K220408,AVIEW RT ACS,"Coreline Soft Co.,Ltd",Radiology,QKB,Seoul,,2022-02-14,2022-11-10,SESE,,2
11/8/2022,K221552,EFAI ChestSuite XR Pneumothorax Assessment System,"Ever Fortune AI Co., Ltd.",Radiology,QFM,Taichung City,,2022-05-31,2022-11-08,SESE,,2
10/27/2022,K220332,uMR Omega with uWS-MR-MRS,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,LNH,Shanghai,,2022-02-04,2022-10-27,SESE,,2
10/25/2022,K222070,EndoNaut,Therenva SAS,Radiology,OWB,Rennes,,2022-07-14,2022-10-25,SESE,,2
10/21/2022,K223042,Viz LVO ContaCT,"Viz.ai, Inc.",Radiology,QAS,San Francisco,CA,2022-09-29,2022-10-21,SESE,,2
10/20/2022,K222361,AI-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.",Radiology,JAK,Malvern,PA,2022-08-04,2022-10-20,SESE,,2
10/18/2022,K221632,Spine CAMP,"Medical Metrics, Inc.",Radiology,QIH,Houston,TX,2022-06-06,2022-10-18,SESE,,2
10/14/2022,K221305,AI-Rad Companion Organs RT,"Siemens Medical Solutions USA, Inc",Radiology,QKB,Malvern,PA,2022-05-05,2022-10-14,SESE,,2
10/14/2022,K213857,HeartFlow Analysis,"HeartFlow, Inc.",Cardiovascular,PJA,Redwood City,CA,2021-12-10,2022-10-14,SESE,,2
10/7/2022,K220709,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2022-03-10,2022-10-07,SESE,,2
10/6/2022,K221449,Genius AI Detection 2.0,"Hologic, Inc.",Radiology,QDQ,Marlborough,MA,2022-05-18,2022-10-06,SESE,,2
10/5/2022,K221892,VISIONAIR,PacificMD Biotech Llc,Anesthesiology,BXQ,Henderson,NV,2022-06-29,2022-10-05,SESE,,2
9/30/2022,K211611,QIR Suite,CASIS Cardiac Simulation & Imaging Software,Radiology,QIH,Quetigny,,2021-05-25,2022-09-30,SESE,,2
9/29/2022,K220080,CogNet QmTRIAGE,"MedCognetics, Inc.",Radiology,QFM,Dallas,TX,2022-01-10,2022-09-29,SESE,,2
9/28/2022,K222329,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2022-08-02,2022-09-28,SESE,,2
9/27/2022,K221738,NS-HGlio,Neosoma Inc.,Radiology,QIH,Groton,MA,2022-06-15,2022-09-27,SESE,,2
9/21/2022,K221179,SomnoMetry,Neumetry Medical Inc,Neurology,OLZ,Fremont,CA,2022-04-25,2022-09-21,SESE,,2
9/20/2022,K213353,Aorta-CAD,"Imagen Technologies, Inc",Radiology,MYN,New York,NY,2021-10-08,2022-09-20,SESE,,2
9/13/2022,K221733,"MAGNETOM Sola, MAGNETOM Altea, MAGNETOM Sola Fit","Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2022-06-15,2022-09-13,SESE,,2
9/12/2022,K221456,Rapid ICH,iSchemaView Inc.,Radiology,QAS,Golden,CO,2022-05-19,2022-09-12,SESE,,2
9/12/2022,K220986,Aquilion Precision (TSX-304A/4) V10.10 with AiCE,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2022-04-04,2022-09-12,SESE,,2
9/8/2022,K222076,EFAI ChestSuite XR Pleural Effusion Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QFM,Taichung City,,2022-07-14,2022-09-08,SESE,,2
9/7/2022,K220783,syngo.via RT Image Suite,Siemens Medical Solutions USA Inc.,Radiology,MUJ,Knoxville,TN,2022-03-17,2022-09-07,SESE,,2
9/6/2022,K213960,LiverMultiScan v5 (LMSv5),Perspectum,Radiology,LNH,Oxford,,2021-12-17,2022-09-06,SESE,,2
9/1/2022,K221241,DrAid for Radiology v1,VinBrain Joint Stock Company,Radiology,QFM,"Viet Hung Ward, Long Bien District",,2022-04-29,2022-09-01,SESE,,2
8/29/2022,K221100,Viz RV/LV,"Viz.ai, Inc.",Radiology,QIH,San Francisco,CA,2022-04-14,2022-08-29,SESE,,2
8/26/2022,K222277,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2022-07-29,2022-08-26,SESE,,2
8/25/2022,K211841,MRI Planner,Spectronic Medical AB,Radiology,MUJ,Helsingborg,,2021-06-14,2022-08-25,SESE,,2
8/25/2022,K221962,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD,Mounds View,MN,2022-07-05,2022-08-25,SESE,,2
8/24/2022,K220598,AutoContour Model RADAC V2,"Radformation, Inc.",Radiology,QKB,New York,NY,2022-03-02,2022-08-24,SESE,,2
8/22/2022,K221599,HS40 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2022-06-02,2022-08-22,SESE,,2
8/19/2022,K222172,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,Knoxville,TN,2022-07-21,2022-08-19,SESE,,2
8/12/2022,K213686,SKOUT Software,Iterative Scopes Inc.,Gastroenterology-Urology,QNP,Cambridge,MA,2021-11-22,2022-08-12,SESE,,2
8/12/2022,K220349,TeraRecon Neuro,"TeraRecon, Inc",Radiology,LLZ,Durham,NC,2022-02-07,2022-08-12,SESE,,2
8/11/2022,K213713,AI-Rad Companion (Pulmonary),Siemens Healthcare GmBh,Radiology,JAK,Malvern,PA,2021-11-24,2022-08-11,SESE,,2
8/8/2022,K213645,ClearPoint Maestro Brain Model,"ClearPoint Neuro, Inc.",Radiology,QIH,Irvine,CA,2021-11-18,2022-08-08,SESE,,2
8/3/2022,K221347,Transpara 1.7.2,ScreenPoint Medical B.V.,Radiology,QDQ,Nijmegen,,2022-05-09,2022-08-03,SESE,,2
8/3/2022,K221432,Customize,3D-Side SA,Radiology,QIH,Mont-Saint-Guibert,,2022-05-17,2022-08-03,SESE,,2
7/29/2022,K213760,ABMD Software,HeartLung Corporation,Radiology,KGI,Torrance,CA,2021-12-01,2022-07-29,SESE,,2
7/29/2022,K220961,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK,Hino,,2022-04-01,2022-07-29,SESE,,2
7/28/2022,K213998,cvi42 Auto Imaging Software Application,Circle Cardiovascular Imaging Inc,Radiology,QIH,Calgary,,2021-12-21,2022-07-28,SESE,,2
7/28/2022,K221923,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2022-07-01,2022-07-28,SESE,,2
7/27/2022,K210822,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK,Warsaw,,2021-03-19,2022-07-27,SESE,,2
7/25/2022,K220439,Viz SDH,"Viz.ai, Inc.",Radiology,QAS,San Francisco,CA,2022-02-16,2022-07-25,SESE,,2
7/22/2022,K220940,"EchoPAC Software Only, EchoPAC Plug-in","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,QIH,Wauwatosa,WI,2022-03-31,2022-07-22,SESE,,2
7/22/2022,K220882,"Vivid E80, Vivid E90, Vivid E95",GE Medical Systems Ultrasound and,Radiology,IYN,Wauwatosa,WI,2022-03-25,2022-07-22,SESE,,2
7/22/2022,K220624,AI4CMR v1.0,AI4MedImaging Medical Solutions S.A.,Radiology,LLZ,Braga,,2022-03-03,2022-07-22,SESE,,2
7/20/2022,K220956,Libby Echo:Prio,"Dyad Medical, Inc",Radiology,QIH,Boston,MA,2022-04-01,2022-07-20,SESE,,2
7/19/2022,K213357,"Study Watch with Irregular Pulse Monitor (Home), Study Watch with Irregular Pulse Monitor",Verily Life Sciences LLC,Cardiovascular,DXH,South San Francisco,CA,2021-10-12,2022-07-19,SESE,,2
7/19/2022,K220815,BrainInsight,"Hyperfine, Inc.",Radiology,QIH,Guilford,CT,2022-03-21,2022-07-19,SESE,,2
7/19/2022,K213409,ZEUS System (Zio Watch),"iRhythm Technologies, Inc.",Cardiovascular,DQK,San Francisco,CA,2021-10-19,2022-07-19,SESE,,2
7/18/2022,K221147,"Vivid T8, Vivid T9","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2022-04-20,2022-07-18,SESE,,2
7/18/2022,K221148,Vivid iq,GE Medical Systems Ultrasound & Primary Care Diagnostics LLC,Radiology,IYN,Wauwatosa,WI,2022-04-20,2022-07-18,SESE,,2
7/15/2022,K220619,"Vivid S60N, Vivid S70N","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2022-03-03,2022-07-15,SESE,,2
7/14/2022,K221203,AHI System,Fifth Eye Inc.,Cardiovascular,QNV,Ann Arbor,MI,2022-04-26,2022-07-14,SESE,,2
7/13/2022,K221727,syngo.CT Extended Functionality,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,Knoxville,TN,2022-06-14,2022-07-13,SESE,,2
7/8/2022,K212783,ProstatID,"ScanMed, LLC",Radiology,QDQ,Omaha,NE,2021-09-01,2022-07-08,SESE,,2
7/6/2022,K210069,Minuteful - kidney test,Healthy.io Ltd.,Clinical Chemistry,JIR,Tel Aviv,,2021-01-11,2022-07-06,SESE,,1
6/29/2022,K213794,Eko Murmur Analysis Software (EMAS),"Eko Devices, Inc.",Cardiovascular,DQD,Oakland,CA,2021-12-06,2022-06-29,SESE,,2
6/29/2022,K220975,"V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2022-04-04,2022-06-29,SESE,,2
6/27/2022,K220851,Venue,GE Medical Systems,Radiology,IYN,Wauwatosa,WI,2022-03-23,2022-06-27,SESE,,2
6/27/2022,K220848,Venue Fit,GE Medical Systems,Radiology,IYN,Wauwatosa,WI,2022-03-23,2022-06-27,SESE,,2
6/24/2022,K220575,"MAGNETOM Free.Max, MAGNETOM Free.Star","Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2022-02-28,2022-06-24,SESE,,2
6/23/2022,K220497,CoLumbo,Smart Soft Healthcare AD,Radiology,QIH,Varna,,2022-02-22,2022-06-23,SESE,,2
6/21/2022,K220800,Venue Go,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,Wauwatosa,WI,2022-03-18,2022-06-21,SESE,,2
6/17/2022,K220813,ART-PLAN,TheraPanacea,Radiology,QKB,Paris,,2022-03-21,2022-06-17,SESE,,2
6/17/2022,K213037,IDx-DR v2.3,Digital Diagnostics Inc.,Ophthalmic,PIB,Coralville,IA,2021-09-21,2022-06-17,SESE,,2
6/17/2022,K221463,ElucidVivo A.3,Elucid Bioimaging Inc.,Radiology,LLZ,Boston,MA,2022-05-19,2022-06-17,SESE,,2
6/16/2022,K213504,"Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A",Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2021-11-01,2022-06-16,SESE,,2
6/10/2022,K221393,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2022-05-13,2022-06-10,SESE,,2
6/8/2022,K213882,EarliPoint System,"EarliTec Diagnostics, Inc.",Neurology,QPF,Decatur,GA,2021-12-13,2022-06-08,SESE,,2
6/8/2022,K213717,AIR Recon DL,"GE Medical Systems,LLC (GE Healthcare)",Radiology,LNH,Waukesha,WI,2021-11-24,2022-06-08,SESE,,2
6/6/2022,K220358,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2022-02-08,2022-06-06,SESE,,2
6/3/2022,K213971,Atrial Fibrillation History Feature,Apple Inc.,Cardiovascular,QDB,Cupertino,CA,2021-12-20,2022-06-03,SESE,,2
6/3/2022,K221314,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2022-05-05,2022-06-03,SESE,,2
6/2/2022,K220164,Rayvolve,AZmed SAS,Radiology,QBS,Laval,,2022-01-20,2022-06-02,SESE,,2
5/31/2022,K221248,Rapid LVO,iSchemaView Inc.,Radiology,QAS,Golden,CO,2022-05-02,2022-05-31,SESE,,2
5/31/2022,K220766,eMurmur Heart AI,CSD Labs GmbH,Cardiovascular,DQD,Graz,,2022-03-16,2022-05-31,SESE,,2
5/25/2022,K220416,SwiftMR,AIRS Medical Inc.,Radiology,LLZ,Seoul,,2022-02-14,2022-05-25,SESE,,2
5/17/2022,K221240,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2022-04-29,2022-05-17,SESE,,2
5/17/2022,K220499,Rapid PE Triage and Notification (PETN),iSchemaView Inc.,Radiology,QAS,Golden,CO,2022-02-22,2022-05-17,SESE,,2
5/17/2022,K221219,syngo.CT CaScoring,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,Knoxville,TN,2022-04-27,2022-05-17,SESE,,2
5/16/2022,K213583,"Achieva, Ingenia, Ingenia CX, Ingenia Elition and Ingenia Ambition MR Systems",Philips Medical Systems Nederland B.V.,Radiology,LNH,Best,,2021-11-12,2022-05-16,SESE,,2
5/13/2022,K220589,MAGNETOM Skyra Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2022-03-01,2022-05-13,SESE,,2
5/13/2022,K221106,Quantib Prostate,Quantib BV,Radiology,LLZ,Rotterdam,,2022-04-15,2022-05-13,SESE,,2
5/12/2022,K220105,Saige-Dx,"DeepHealth, Inc.",Radiology,QDQ,Cambridge,MA,2022-01-12,2022-05-12,SESE,,2
5/11/2022,K220446,Versana Balance,"GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2022-02-16,2022-05-11,SESE,,2
5/10/2022,K212519,Overjet Caries Assist,"Overjet, Inc.",Radiology,MYN,Boston,MA,2021-08-10,2022-05-10,SESE,,2
5/6/2022,K211966,Segment 3DPrint,Medviso AB,Radiology,LLZ,Lund,,2021-06-24,2022-05-06,SESE,,2
5/3/2022,K212915,MVision AI Segmentation,MVision AI,Radiology,QKB,Helsinki,,2021-09-13,2022-05-03,SESE,,2
5/3/2022,K220013,X100HT with Slide Loader with Full Field Peripheral Blood Smear (PBS) Application,Scopio Labs Ltd.,Hematology,JOY,Tel Aviv,,2022-01-04,2022-05-03,SESE,,2
4/29/2022,K220590,aPROMISE X,EXINI Diagnostics AB,Radiology,LLZ,Lund,,2022-03-01,2022-04-29,SESE,,2
4/29/2022,K220939,MAGNETOM Lumina and MAGNETOM Vida Fit with syngo MR XA50A,Siemens Medical Solutions USA Inc.,Radiology,LNH,Malvern,PA,2022-03-31,2022-04-29,SESE,,2
4/29/2022,K220899,Oxehealth Vital Signs,Oxehealth Limited,Cardiovascular,QME,Oxford,,2022-03-28,2022-04-29,SESE,,2
4/28/2022,K220264,EFAI RTSuite CT HN-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB,Taichung City,,2022-01-31,2022-04-28,SESE,,2
4/27/2022,K212441,Philips Incisive CT,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK,Suzhou,,2021-08-04,2022-04-27,SESE,,2
4/26/2022,K213886,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel-Aviv,,2021-12-13,2022-04-26,SESE,,2
4/26/2022,K212662,AliveCor QT Service,"AliveCor, Inc.",Cardiovascular,DQK,Mountain View,CA,2021-08-23,2022-04-26,SESE,,2
4/22/2022,K213944,HealthOST,NanoxAI Ltd.,Radiology,JAK,Shefayim,,2021-12-17,2022-04-22,SESE,,2
4/21/2022,K213795,Videa Caries Assist,"VideaHealth, Inc",Radiology,MYN,Boston,MA,2021-12-06,2022-04-21,SESE,,2
4/15/2022,K213706,AI-Rad Companion Brain MR,Siemens Healthcare GmBh,Radiology,QIH,Malvern,PA,2021-11-24,2022-04-15,SESE,,2
4/15/2022,K220141,RayStation 11B,RaySearch Laboratories AB (publ),Radiology,MUJ,Stockholm,,2022-01-18,2022-04-15,SESE,,2
4/8/2022,K220192,"Vantage Galan 3T, MRT-3020, V8.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,Otawara-Shi,,2022-01-24,2022-04-08,SESE,,2
4/8/2022,K212274,INT Contour,Carina Medical LLC,Radiology,MUJ,Lexington,KY,2021-07-20,2022-04-08,SESE,,2
4/6/2022,K203783,ClariPulmo,ClariPi Inc.,Radiology,LLZ,Seoul,,2020-12-28,2022-04-06,SESE,,2
4/5/2022,K220043,"HERA W10 Diagnostic Ultrasound System, HERA W9 Diagnostic Ultrasound System","Samsung Medison Co., LTD",Radiology,IYN,Hongcheon-gun,,2022-01-05,2022-04-05,SESE,,2
4/5/2022,K214081,MRCAT Head & Neck,Philips Oy,Radiology,MUJ,Vantaa,,2021-12-27,2022-04-05,SESE,,2
4/4/2022,K212624,EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System,"Ever Fortune. AI Co., Ltd.",Radiology,QIH,Taichung,,2021-08-18,2022-04-04,SESE,,2
4/1/2022,K213657,DEEPVESSEL FFR,KeyaMed NA Inc.,Cardiovascular,PJA,Seattle,WA,2021-11-19,2022-04-01,SESE,,2
4/1/2022,K220151,MAGNETOM Avanto Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2022-01-19,2022-04-01,SESE,,2
3/22/2022,K200828,Athelas Home,Athelas Inc.,Hematology,GKZ,Mountain View,CA,2020-03-30,2022-03-22,SESE,,2
3/22/2022,K212960,"Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,Radiology,IYN,Otawara-shi,,2021-09-16,2022-03-22,SESE,,2
3/21/2022,K213721,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS,Tel-Aviv,,2021-11-24,2022-03-21,SESE,,2
3/16/2022,K213779,Customize,3D-Side SA,Radiology,QIH,Mont-Saint-Guibert,,2021-12-03,2022-03-16,SESE,,2
3/14/2022,K214043,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM,Tel-Aviv,,2021-12-23,2022-03-14,SESE,,2
3/14/2022,K203744,Arterys MICA,Arterys Inc.,Radiology,QIH,San Francisco,CA,2020-12-22,2022-03-14,SESE,,2
3/11/2022,K213725,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK,Buc,,2021-11-26,2022-03-11,SESE,,2
